"Date","Price","Open","High","Low","Change %"
"Mar 23, 2021","77.89","77.89","77.89","77.89","-0.38"
"Mar 22, 2021","78.19","78.19","78.19","78.19","0.39"
"Mar 19, 2021","77.89","77.89","77.89","77.89","-0.52"
"Mar 18, 2021","78.30","78.30","78.30","78.30","-0.75"
"Mar 17, 2021","78.89","78.89","78.89","78.89","0.11"
"Mar 16, 2021","78.80","78.80","78.80","78.80","0.03"
"Mar 15, 2021","78.78","78.78","78.78","78.78","0.42"
"Mar 12, 2021","78.45","78.45","78.45","78.45","-0.11"
"Mar 11, 2021","78.54","78.54","78.54","78.54","0.72"
"Mar 10, 2021","77.98","77.98","77.98","77.98","0.44"
"Mar 09, 2021","77.64","77.64","77.64","77.64","0.67"
"Mar 08, 2021","77.12","77.12","77.12","77.12","-0.43"
"Mar 05, 2021","77.45","77.45","77.45","77.45","1.18"
"Mar 04, 2021","76.55","76.55","76.55","76.55","-0.70"
"Mar 03, 2021","77.09","77.09","77.09","77.09","-0.70"
"Mar 02, 2021","77.63","77.63","77.63","77.63","-0.36"
"Mar 01, 2021","77.91","77.91","77.91","77.91","1.37"
"Feb 26, 2021","76.86","76.86","76.86","76.86","-0.13"
"Feb 25, 2021","76.96","76.96","76.96","76.96","-1.61"
"Feb 24, 2021","78.22","78.22","78.22","78.22","0.54"
"Feb 23, 2021","77.80","77.80","77.80","77.80","0.01"
"Feb 22, 2021","77.79","77.79","77.79","77.79","-0.42"
"Feb 19, 2021","78.12","78.12","78.12","78.12","-0.26"
"Feb 18, 2021","78.32","78.32","78.32","78.32","-0.18"
"Feb 17, 2021","78.46","78.46","78.46","78.46","-0.05"
"Feb 16, 2021","78.50","78.50","78.50","78.50","0.08"
"Feb 12, 2021","78.44","78.44","78.44","78.44","0.11"
"Feb 11, 2021","78.35","78.35","78.35","78.35","0.22"
"Feb 10, 2021","78.18","78.18","78.18","78.18","0.06"
"Feb 09, 2021","78.13","78.13","78.13","78.13","0.08"
"Feb 08, 2021","78.07","78.07","78.07","78.07","0.39"
"Feb 05, 2021","77.77","77.77","77.77","77.77","0.08"
"Feb 04, 2021","77.71","77.71","77.71","77.71","0.60"
"Feb 03, 2021","77.25","77.25","77.25","77.25","0.31"
"Feb 02, 2021","77.01","77.01","77.01","77.01","0.72"
"Feb 01, 2021","76.46","76.46","76.46","76.46","0.99"
"Jan 29, 2021","75.71","75.71","75.71","75.71","-1.30"
"Jan 28, 2021","76.71","76.71","76.71","76.71","0.87"
"Jan 27, 2021","76.05","76.05","76.05","76.05","-1.88"
"Jan 26, 2021","77.51","77.51","77.51","77.51","-0.13"
"Jan 25, 2021","77.61","77.61","77.61","77.61","0.18"
"Jan 22, 2021","77.47","77.47","77.47","77.47","-0.27"
"Jan 21, 2021","77.68","77.68","77.68","77.68","0.06"
"Jan 20, 2021","77.63","77.63","77.63","77.63","0.77"
"Jan 19, 2021","77.04","77.04","77.04","77.04","0.55"
"Jan 15, 2021","76.62","76.62","76.62","76.62","-0.18"
"Jan 14, 2021","76.76","76.76","76.76","76.76","-0.38"
"Jan 13, 2021","77.05","77.05","77.05","77.05","0.12"
"Jan 12, 2021","76.96","76.96","76.96","76.96","-0.05"
"Jan 11, 2021","77.00","77.00","77.00","77.00","-0.38"
"Jan 08, 2021","77.29","77.29","77.29","77.29","0.22"
"Jan 07, 2021","77.12","77.12","77.12","77.12","0.84"
"Jan 06, 2021","76.48","76.48","76.48","76.48","0.46"
"Jan 05, 2021","76.13","76.13","76.13","76.13","0.26"
"Jan 04, 2021","75.93","75.93","75.93","75.93","-0.87"
"Dec 31, 2020","76.60","76.60","76.60","76.60","0.45"
"Dec 30, 2020","76.26","76.26","76.26","76.26","-0.04"
"Dec 29, 2020","76.29","76.29","76.29","76.29","-5.97"
"Dec 28, 2020","81.13","81.13","81.13","81.13","0.71"
"Dec 24, 2020","80.56","80.56","80.56","80.56","0.15"
"Dec 23, 2020","80.44","80.44","80.44","80.44","0.19"
"Dec 22, 2020","80.29","80.29","80.29","80.29","-0.16"
"Dec 21, 2020","80.42","80.42","80.42","80.42","-0.15"
"Dec 18, 2020","80.54","80.54","80.54","80.54","-0.20"
"Dec 17, 2020","80.70","80.70","80.70","80.70","0.30"
"Dec 16, 2020","80.46","80.46","80.46","80.46","0.09"
"Dec 15, 2020","80.39","80.39","80.39","80.39","0.79"
"Dec 14, 2020","79.76","79.76","79.76","79.76","-0.51"
